Income,Debt,CreditScore,LoanAmount,LoanPurpose,DTI,RiskScore,DefaultProbability,RiskCategory
84934.28306022465,33993.55436586002,646.2410862512809,5000.0,Education,0.40023360580739925,0.2820317136385417,0.25164813899355665,Low
72234.71397657631,29246.336829127686,672.7740664642241,12094.224838307471,Real Estate,0.40487925014296383,0.28917840423131186,0.2584370367054507,Low
87953.77076201385,20596.30369920174,640.3790039500019,18795.916998675337,Personal,0.2341719237362934,0.2286616768243202,0.2047785275428354,Low
105460.5971281605,13530.632222944261,664.601923518048,53315.31486010285,Education,0.1283003566393733,0.23621542326881656,0.2109975533873761,Low
70316.93250553327,26982.2331361359,585.3192666523107,33348.29686800637,Education,0.3837231257778865,0.3519748860417875,0.32297668571580074,Medium
70317.26086101639,23934.853854217497,690.6646853686469,5000.0,Business,0.34038376297855605,0.2364278748885791,0.21117444984094436,Low
106584.25631014783,28951.932200277322,680.0602737681112,32290.544341264555,Education,0.271634228192488,0.26037692968414566,0.23181065463510653,Low
90348.69458305818,26351.718016819694,639.1455684465905,5000.0,Personal,0.2916668374504778,0.2302526298617364,0.20607695797968228,Low
65610.51228130097,30495.527153193354,712.9622834216202,41240.3658083061,Business,0.46479635797455277,0.363245163513905,0.3354194654191645,Medium
85851.2008717193,14647.64788439432,726.8785068813279,17933.130222731823,Business,0.17061669185363115,0.16462925100239878,0.15751253452083502,Low
65731.64614375075,33173.94065634326,599.6220067815512,23595.45716891244,Personal,0.5046875075027643,0.3879033715780713,0.3634356773283879,Medium
65685.40492859486,21975.996046923996,641.8637610716893,44886.94971313285,Real Estate,0.33456436891595037,0.33051593291776227,0.2999742808749854,Medium
79839.24543132068,40752.608726252656,641.5428825106351,5692.546471236252,Education,0.5104332901205694,0.3401748382931213,0.31021254795226577,Medium
36734.395106844044,13108.121819104323,633.0048449445568,5000.0,Business,0.35683510728783246,0.2650040789576021,0.23595607697156926,Low
40501.643349739345,37359.63803165249,721.4737420965874,16246.010104809928,Real Estate,0.9224227695909757,0.5390656136769003,0.5486773496230016,Medium
63754.249415180544,21979.107834626477,670.3086930613598,40575.68276528975,Personal,0.34474733898118837,0.3169454962936349,0.2859221296868003,Medium
54743.377593311525,13485.819963855516,666.7742579344695,5000.0,Education,0.24634614371151253,0.19784098082006119,0.18082098987355938,Low
81284.94665190548,15161.141659456785,579.8068817796623,5000.0,Education,0.18651844263837475,0.1986214983381301,0.18139977994202183,Low
56839.518489575785,16796.5269180568,711.7709015104613,18232.61712386502,Business,0.29550790302942553,0.23300592640580942,0.20833839654243833,Low
46753.92597329417,24241.659464019165,618.0370802573264,33276.11199866381,Education,0.5184946281915661,0.40766880388464255,0.3865930528348005,Medium
104312.97537843109,25228.354880354997,682.9966315133164,43003.92624608244,Education,0.24185250961187224,0.2658764726463423,0.23674336166930354,Low
70484.47399026928,14262.99996061421,693.8688468979096,18052.579568719015,Education,0.20235662058829135,0.192388582291145,0.17681789445507742,Low
76350.56409375848,19756.45407739017,748.0329297919326,18828.600893259965,Education,0.25875976571868214,0.20302546236635538,0.1846925563978033,Low
46505.03627573086,41422.70358611864,614.5589800440443,42308.51101383621,Personal,0.8907143592044784,0.6130710322026018,0.6376907134846173,High
64112.34550949634,37275.43170100711,529.0243922089587,5000.0,Real Estate,0.5814080175164682,0.4139895173903663,0.3941138158857559,Medium
77218.45179419732,24363.23669674032,689.1924772376848,19172.18837225486,Personal,0.31551055648814663,0.25285525125763547,0.22518120705262384,Low
51980.128451553945,20380.034781682003,770.0255590755427,27856.358348875867,Personal,0.39207357482150934,0.2799757773759619,0.249717202141966,Low
82513.96036691344,21200.313267182613,741.9473176469719,31738.280819275515,Business,0.2569300173317526,0.23007781113490783,0.20593398492102444,Low
62987.2262016239,26135.179727304167,690.4829707637313,17352.89960213676,Education,0.41492825297060576,0.2984700536553183,0.26744005386985237,Low
69166.12500413446,9772.074348015944,655.4181907183977,25516.61517558762,Personal,0.14128410905528985,0.19035121756644452,0.17534004653805388,Low
62965.867755412066,17426.23462576655,720.3561298318655,5000.0,Education,0.2767568406022439,0.1941350803604636,0.1780925266224129,Low
112045.56369017877,3314.159261224104,631.3226900147765,15126.273814992275,Personal,0.02957867453269462,0.12222211194994013,0.13137114661341706,Low
74730.05550524133,23992.23122605279,703.8178884678109,31802.63068831701,Personal,0.3210519658234437,0.2757249307114814,0.24575626003376957,Low
53845.78142088199,26471.95939702741,705.2735079583314,10265.589486179806,Business,0.4916255034003702,0.3174238690401925,0.28641072804822476,Medium
91450.89824206378,15168.13537700626,733.010495374944,25884.76332384396,Real Estate,0.1658609775144835,0.17599042880200827,0.16519827037049184,Low
50583.12700057955,35739.86763290033,817.983001945554,31703.08751204047,Real Estate,0.7065571021833198,0.4279848430761336,0.4109412207458376,Medium
79177.2719000951,7742.343369976588,699.6207983589384,19861.761987133526,Personal,0.09778492216485787,0.14169099740060012,0.14288340481514508,Low
35806.59752240449,5356.251197901798,654.551818714625,27556.956564948563,Business,0.14958838785367268,0.19888981809863052,0.18159908433966132,Low
48436.27902203139,22244.51818559972,678.7212843904002,10559.011520730815,Education,0.45925324229554737,0.31119595558085883,0.28008899220797234,Medium
78937.22471738247,30470.983026121547,591.5462047555441,21900.8308045593,Education,0.3860153829225218,0.3280283396272463,0.29736895130700497,Medium
89769.33159990821,36839.27691457869,645.2643434455471,34153.242543838336,Personal,0.4103770882328409,0.34575467269390403,0.3162138199021505,Medium
78427.36562379941,15411.1573713106,659.5358780943448,27354.594414526513,Real Estate,0.19650229545175443,0.2201829678157497,0.19796132272033115,Low
72687.03435223519,30786.808334312955,653.7955801032704,16202.030956540966,Business,0.4235529569843598,0.3134291591923429,0.2823460173259968,Medium
68977.92608821423,19614.915304992926,687.6177436016861,28363.246064361894,Real Estate,0.28436510659812936,0.2562204300389581,0.2281304666921833,Low
45429.56019265145,18273.727000591804,638.87900338089,35719.14685954927,Education,0.40224309729390045,0.34707313529044054,0.3176409511285563,Medium
60603.115832105825,28836.599374866724,736.0515333662236,5000.0,Real Estate,0.4758270095345478,0.28813061063801854,0.25743427378852224,Low
65787.22458080425,26523.228784134197,680.0103532459099,42386.110974338466,Education,0.40316686033101456,0.34635199802739247,0.31685995038608655,Medium
96142.44452437831,4236.078430157506,679.5349839430693,19956.17891978392,Business,0.0440604402261,0.12210670126682868,0.13130531145680893,Low
81872.36579136923,34765.40349725896,663.6052641743541,31382.348998603455,Business,0.4246292770609523,0.34086571387791104,0.3109522024182774,Medium
39739.19689274532,33800.91354147452,687.759534192949,42958.70385467842,Personal,0.8505686119601757,0.5684630545625216,0.5847528205261451,Medium
81481.6793878959,13744.372984904705,721.2549132333818,5000.0,Personal,0.16868053147842252,0.1397797081274295,0.1417170378643011,Low
67298.35439167367,23958.03533437409,636.643489214455,14358.384963586801,Real Estate,0.35599734274242884,0.282017739222698,0.2516349808173893,Low
61461.55999388083,24940.30186282739,647.0941755462371,20671.76956186443,Business,0.40578699703213633,0.3158508580352427,0.2848059751510475,Medium
87233.52577681736,22606.73765823907,664.8136985611668,13243.697183133576,Business,0.2591519425235349,0.2214232367240934,0.19894777105052586,Low
95619.99044991902,14496.948461545799,612.7064538263393,51024.04863755213,Personal,0.1516100178773661,0.261603769569197,0.23290479554728746,Low
93625.60238232397,13283.766320619485,639.0371070139252,12148.41859259811,Education,0.14188177146647007,0.1696952145605753,0.16090309281723775,Low
58215.64953554723,19744.459290085546,656.188956322767,16666.798307697,Real Estate,0.33916068011968714,0.27131783444367275,0.24169467942882783,Low
68815.7524829757,31727.290192593646,723.7194590356364,28065.835474044652,Real Estate,0.46104691219416144,0.3312247297384748,0.3007190082239088,Medium
81625.26862807128,25436.001545944324,693.1280664500963,6967.7571088586665,Personal,0.3116192077951309,0.22511168289760172,0.2019031892384943,Low
94510.90254244718,16293.85667913894,689.6794955683772,19064.78932365604,Business,0.17240187365495707,0.18091422292124573,0.1686214611535949,Low
65416.5152430942,27716.987106483448,722.5448981083986,29761.798918752625,Personal,0.4237001467211208,0.3163578248068662,0.28532258086417167,Medium
71286.82046672366,0.0,673.1314105800302,20007.09393426233,Personal,0.0,0.10243839589910225,0.12048895636569057,Low
52873.300519879434,31487.657003721033,699.5232424964445,23599.197116500774,Personal,0.5955303847899986,0.39807303045278514,0.3752791296466406,Medium
51075.867518386585,2602.8622122190027,674.8389123533752,17060.018313274435,Personal,0.050960704902016776,0.12142194942342482,0.13091527574112344,Low
91250.51644788396,16375.590585968679,693.2681174699815,5000.0,Education,0.17945751129333382,0.1550458906572617,0.1512577070925541,Low
102124.80057141646,8803.301053738562,650.8620671194209,29823.898170088578,Education,0.08620140264149023,0.1730324739717149,0.16316873167112955,Low
73559.79756839332,7053.185242790942,558.0591420861786,51323.99607470862,Business,0.09588369565907434,0.2536277898308914,0.2258558643025101,Low
95070.65795784048,31608.267873785197,673.2860418906848,25276.02446175157,Personal,0.33247132767085746,0.2791573450328078,0.2489512862928722,Low
